meal_id,meal_name,cuisine,meal_type,diet_type,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,cholesterol_mg,serving_size_g,cooking_method,prep_time_min,cook_time_min,rating,is_healthy,image_url,calories_cat,protein_g_cat,carbs_g_cat,fat_g_cat,fiber_g_cat,sugar_g_cat,sodium_mg_cat,cholesterol_mg_cat
1,Kid Pasta,Indian,Lunch,Keto,737,52.4,43.9,34.3,16.8,42.9,2079,91,206,Grilled,47,56,4.4,0,https://example.com/images/meal_1.jpg,medium,medium,low,medium,medium,high,high,low
2,Husband Rice,Mexican,Lunch,Paleo,182,74.7,144.4,0.1,22.3,38.6,423,7,317,Roasted,51,34,2.4,0,https://example.com/images/meal_2.jpg,low,high,high,low,high,high,low,low
3,Activity Rice,Indian,Snack,Paleo,881,52.9,97.3,18.8,20.0,37.5,2383,209,395,Boiled,58,29,4.3,0,https://example.com/images/meal_3.jpg,high,medium,medium,low,medium,high,high,high
4,Another Salad,Mexican,Snack,Keto,427,17.5,73.1,7.6,9.8,41.7,846,107,499,Grilled,14,81,4.6,0,https://example.com/images/meal_4.jpg,low,low,medium,low,low,high,medium,medium
5,Quite Stew,Thai,Lunch,Vegan,210,51.6,104.3,26.3,24.8,18.2,1460,42,486,Raw,47,105,4.3,0,https://example.com/images/meal_5.jpg,low,medium,high,medium,high,medium,medium,low
6,Arm Stew,Italian,Dinner,Balanced,484,55.3,130.3,0.1,29.7,1.6,411,162,209,Steamed,56,112,1.6,1,https://example.com/images/meal_6.jpg,medium,medium,high,low,high,low,low,medium
7,Item Rice,Thai,Snack,Keto,114,60.9,6.7,6.7,23.4,8.3,1107,60,291,Roasted,41,90,2.8,1,https://example.com/images/meal_7.jpg,low,high,low,low,high,low,medium,low
8,Thing Rice,Mexican,Breakfast,Vegan,473,57.5,119.0,19.6,2.0,39.8,257,63,143,Grilled,18,21,1.6,0,https://example.com/images/meal_8.jpg,medium,high,high,low,low,high,low,low
9,Third Soup,American,Breakfast,Paleo,863,16.8,43.0,39.4,24.5,33.0,515,50,471,Grilled,33,56,4.0,0,https://example.com/images/meal_9.jpg,high,low,low,medium,high,high,low,low
10,Ask Pasta,Mexican,Dinner,Balanced,671,48.4,76.4,38.2,14.7,29.4,1110,214,117,Roasted,35,68,5.0,0,https://example.com/images/meal_10.jpg,medium,medium,medium,medium,medium,medium,medium,high
11,Add Wrap,Chinese,Snack,Balanced,746,23.9,55.7,1.8,20.0,32.9,875,270,384,Boiled,57,43,3.1,0,https://example.com/images/meal_11.jpg,medium,low,medium,low,medium,high,medium,high
12,Ago Soup,Thai,Breakfast,Keto,594,32.6,32.0,46.9,10.9,11.7,825,76,112,Steamed,8,76,4.2,0,https://example.com/images/meal_12.jpg,medium,medium,low,high,medium,low,low,low
13,Because Salad,Mexican,Breakfast,Keto,545,9.0,137.2,45.3,19.5,34.1,765,175,267,Steamed,11,117,1.8,0,https://example.com/images/meal_13.jpg,medium,low,high,high,medium,high,low,medium
14,Indicate Curry,Italian,Lunch,Paleo,708,5.3,133.7,2.9,23.7,26.1,588,216,144,Grilled,45,9,2.3,0,https://example.com/images/meal_14.jpg,medium,low,high,low,high,medium,low,high
