antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'cuisine=Chinese'}),frozenset({'calories_cat=low'}),0.1225,0.3335,0.0505,0.41224489795918373,1.2361166355597712,1.0,0.009646250000000002,1.1339756944444446,0.21768074243321772,0.12453760789149199,0.11814688365969049,0.28183459290762786
frozenset({'calories_cat=low'}),frozenset({'cuisine=Chinese'}),0.3335,0.1225,0.0505,0.15142428785607195,1.236116635559771,1.0,0.009646250000000002,1.0340856890459365,0.2865939257091501,0.12453760789149199,0.032962151402931,0.28183459290762786
frozenset({'cuisine=Mediterranean'}),frozenset({'cholesterol_mg_cat=medium'}),0.133,0.335,0.055,0.41353383458646614,1.2344293569745257,1.0,0.010444999999999996,1.1339102564102563,0.21904162734612553,0.13317191283292978,0.11809599185934755,0.28885646953203903
frozenset({'cholesterol_mg_cat=medium'}),frozenset({'cuisine=Mediterranean'}),0.335,0.133,0.055,0.16417910447761194,1.2344293569745257,1.0,0.010444999999999996,1.0373035714285714,0.28557758031442226,0.13317191283292978,0.03596205822100569,0.28885646953203903
frozenset({'protein_g_cat=high'}),frozenset({'cuisine=American'}),0.333,0.1305,0.052,0.15615615615615613,1.1965988977483228,1.0,0.008543499999999996,1.0304039145907473,0.2463239534079113,0.12636695018226002,0.029506792589023726,0.27731179455317384
frozenset({'cuisine=American'}),frozenset({'protein_g_cat=high'}),0.1305,0.333,0.052,0.39846743295019155,1.1965988977483228,1.0,0.008543499999999996,1.1088343949044588,0.1889569602335559,0.12636695018226002,0.098152073388593,0.27731179455317384
frozenset({'cooking_method=Roasted'}),frozenset({'calories_cat=low'}),0.1475,0.3335,0.0585,0.39661016949152544,1.1892358905293117,1.0,0.009308750000000005,1.1045926966292134,0.18665563826854156,0.13846153846153847,0.09468892646890537,0.28601123167229947
frozenset({'calories_cat=low'}),frozenset({'cooking_method=Roasted'}),0.3335,0.1475,0.0585,0.17541229385307347,1.1892358905293117,1.0,0.009308750000000005,1.03385,0.23874558383185548,0.13846153846153847,0.0327416936692944,0.28601123167229947
frozenset({'cuisine=American'}),frozenset({'fiber_g_cat=low'}),0.1305,0.338,0.052,0.39846743295019155,1.1788977306218684,1.0,0.007890999999999995,1.1005222929936305,0.17452558941920635,0.12484993997599038,0.09134053315738902,0.2761567933981727
frozenset({'fiber_g_cat=low'}),frozenset({'cuisine=American'}),0.338,0.1305,0.052,0.15384615384615383,1.1788977306218684,1.0,0.007890999999999995,1.027590909090909,0.22922960725075517,0.12484993997599038,0.026850090679877887,0.2761567933981727
frozenset({'fat_g_cat=high'}),frozenset({'diet_type=Vegetarian'}),0.333,0.162,0.0635,0.1906906906906907,1.1771030289548807,1.0,0.009553999999999993,1.0354508348794063,0.22557225324345684,0.14716106604866744,0.03423710106287672,0.291332999666333
frozenset({'diet_type=Vegetarian'}),frozenset({'fat_g_cat=high'}),0.162,0.333,0.0635,0.39197530864197533,1.1771030289548807,1.0,0.009553999999999993,1.096994923857868,0.17954259297540062,0.14716106604866744,0.08841875358616988,0.291332999666333
frozenset({'fiber_g_cat=medium'}),frozenset({'cuisine=Mediterranean'}),0.3285,0.133,0.051,0.1552511415525114,1.1673018161842963,1.0,0.00730949999999999,1.0263405405405406,0.21343786956331273,0.12423873325213153,0.02566452312861753,0.2693548940845264
frozenset({'cuisine=Mediterranean'}),frozenset({'fiber_g_cat=medium'}),0.133,0.3285,0.051,0.38345864661654133,1.1673018161842963,1.0,0.00730949999999999,1.089140243902439,0.16530972250491868,0.12423873325213153,0.08184459659946586,0.2693548940845264
frozenset({'diet_type=Paleo'}),frozenset({'calories_cat=low'}),0.1595,0.3335,0.062,0.3887147335423197,1.1655614199170006,1.0,0.008806749999999995,1.090325641025641,0.1689998272917425,0.14385150812064965,0.08284281101623361,0.2873108900095407
frozenset({'calories_cat=low'}),frozenset({'diet_type=Paleo'}),0.3335,0.1595,0.062,0.1859070464767616,1.1655614199170006,1.0,0.008806749999999995,1.032437384898711,0.21311981221111717,0.14385150812064965,0.03141825874689065,0.2873108900095407
frozenset({'fat_g_cat=medium'}),frozenset({'cuisine=American'}),0.3335,0.1305,0.0505,0.15142428785607195,1.1603393705446126,1.0,0.006978249999999998,1.0246581272084805,0.2073265841212778,0.12212817412333736,0.02406473588967447,0.26919873396635013
frozenset({'cuisine=American'}),frozenset({'fat_g_cat=medium'}),0.1305,0.3335,0.0505,0.38697318007662834,1.1603393705446126,1.0,0.006978249999999998,1.0872281249999998,0.15892256275656316,0.12212817412333736,0.08022982757183544,0.26919873396635013
frozenset({'cooking_method=Steamed'}),frozenset({'calories_cat=high'}),0.14,0.333,0.054,0.3857142857142857,1.1583011583011582,1.0,0.007379999999999991,1.0858139534883722,0.15891472868217033,0.12887828162291168,0.07903191261512092,0.2739382239382239
frozenset({'calories_cat=high'}),frozenset({'cooking_method=Steamed'}),0.333,0.14,0.054,0.16216216216216214,1.158301158301158,1.0,0.007379999999999991,1.0264516129032257,0.20489755122438755,0.12887828162291168,0.025769956002514104,0.2739382239382239
frozenset({'diet_type=Low-Carb'}),frozenset({'sodium_mg_cat=high'}),0.169,0.3335,0.065,0.3846153846153846,1.1532695190866105,1.0,0.008638499999999993,1.0830624999999998,0.1599277978339349,0.14857142857142855,0.07669224998557324,0.2897589666705109
frozenset({'sodium_mg_cat=high'}),frozenset({'diet_type=Low-Carb'}),0.3335,0.169,0.065,0.19490254872563717,1.1532695190866105,1.0,0.008638499999999993,1.032173184357542,0.19939984996249047,0.14857142857142855,0.031170335409912348,0.2897589666705109
frozenset({'cholesterol_mg_cat=low'}),frozenset({'cooking_method=Raw'}),0.335,0.1335,0.0515,0.15373134328358207,1.1515456425736483,1.0,0.006777499999999992,1.0239065255731923,0.19789765676326715,0.12350119904076737,0.0233483477017681,0.26974956677287715
frozenset({'cooking_method=Raw'}),frozenset({'cholesterol_mg_cat=low'}),0.1335,0.335,0.0515,0.3857677902621722,1.1515456425736483,1.0,0.006777499999999992,1.0826524390243901,0.15187760155519062,0.12350119904076737,0.07634254174762738,0.26974956677287715
frozenset({'calories_cat=high'}),frozenset({'cuisine=American'}),0.333,0.1305,0.05,0.15015015015015015,1.1505758632195413,1.0,0.006543500000000001,1.0231219081272083,0.19620689655172413,0.12091898428053204,0.022599367625244563,0.26664595630112875
frozenset({'cuisine=American'}),frozenset({'calories_cat=high'}),0.1305,0.333,0.05,0.3831417624521073,1.1505758632195413,1.0,0.006543500000000001,1.0812857142857144,0.15051178838412882,0.12091898428053204,0.07517505615008586,0.26664595630112875
frozenset({'carbs_g_cat=high'}),frozenset({'diet_type=Vegan'}),0.3335,0.1725,0.066,0.19790104947526238,1.1472524607261587,1.0,0.008471250000000007,1.0316682242990656,0.19257655322921655,0.15,0.030696132296389598,0.2902548725637182
frozenset({'diet_type=Vegan'}),frozenset({'carbs_g_cat=high'}),0.1725,0.3335,0.066,0.382608695652174,1.1472524607261587,1.0,0.008471250000000007,1.0795422535211268,0.15510848667948376,0.15,0.073681463844222,0.2902548725637182
frozenset({'sugar_g_cat=high'}),frozenset({'fat_g_cat=low'}),0.333,0.3335,0.127,0.3813813813813814,1.1435723579651615,1.0,0.015944499999999986,1.077400485436893,0.18822675276534945,0.23540315106580162,0.07184003208009208,0.3810954882918901
frozenset({'fat_g_cat=low'}),frozenset({'sugar_g_cat=high'}),0.3335,0.333,0.127,0.38080959520239877,1.1435723579651613,1.0,0.015944499999999986,1.0772130750605327,0.18836795813126495,0.23540315106580162,0.07167855352683469,0.3810954882918901
frozenset({'sugar_g_cat=low'}),frozenset({'cuisine=Mediterranean'}),0.335,0.133,0.0505,0.15074626865671642,1.1334305914038827,1.0,0.005944999999999999,1.020896309314587,0.17702672522891383,0.12095808383233532,0.02046859129955757,0.2652227583885086
frozenset({'cuisine=Mediterranean'}),frozenset({'sugar_g_cat=low'}),0.133,0.335,0.0505,0.37969924812030076,1.1334305914038827,1.0,0.005944999999999999,1.0720606060606062,0.1357817442643918,0.12095808383233532,0.06721691446661765,0.2652227583885086
frozenset({'cuisine=Indian'}),frozenset({'carbs_g_cat=medium'}),0.141,0.3325,0.053,0.3758865248226951,1.1304857889404363,1.0,0.006117499999999998,1.0695170454545455,0.13437081292419878,0.12604042806183113,0.06499853906021733,0.2676425105316483
frozenset({'carbs_g_cat=medium'}),frozenset({'cuisine=Indian'}),0.3325,0.141,0.053,0.15939849624060148,1.130485788940436,1.0,0.006117499999999998,1.0218872987477639,0.17292064165076668,0.12604042806183113,0.02141850551874447,0.2676425105316483
frozenset({'cooking_method=Baked'}),frozenset({'carbs_g_cat=low'}),0.147,0.334,0.0555,0.3775510204081633,1.1303922766711476,1.0,0.006401999999999998,1.0699672131147542,0.13523018915750445,0.13043478260869565,0.0653919225347797,0.271859342539411
frozenset({'carbs_g_cat=low'}),frozenset({'cooking_method=Baked'}),0.334,0.147,0.0555,0.1661676646706587,1.1303922766711476,1.0,0.006401999999999998,1.0229874326750448,0.17320022725428127,0.13043478260869565,0.02247088472527397,0.271859342539411
frozenset({'carbs_g_cat=low'}),frozenset({'sodium_mg_cat=high'}),0.334,0.3335,0.1255,0.37574850299401197,1.1266821678980867,1.0,0.014110999999999985,1.0676786570743404,0.16882619671464277,0.23154981549815495,0.06338860164142829,0.37603017353598645
frozenset({'sodium_mg_cat=high'}),frozenset({'carbs_g_cat=low'}),0.3335,0.334,0.1255,0.376311844077961,1.1266821678980867,1.0,0.014110999999999985,1.0678413461538458,0.16869954540427917,0.23154981549815495,0.0635312974143558,0.37603017353598645
frozenset({'diet_type=Balanced'}),frozenset({'sugar_g_cat=high'}),0.176,0.333,0.0655,0.37215909090909094,1.1175948675948677,1.0,0.006892000000000002,1.062371040723982,0.12769584228859412,0.14768883878241262,0.05870928172277499,0.2844278938028938
frozenset({'sugar_g_cat=high'}),frozenset({'diet_type=Balanced'}),0.333,0.176,0.0655,0.1966966966966967,1.1175948675948677,1.0,0.006892000000000002,1.0257644859813086,0.15775318447646408,0.14768883878241262,0.025117350360068826,0.2844278938028938
frozenset({'cooking_method=Baked'}),frozenset({'sodium_mg_cat=medium'}),0.147,0.3325,0.0545,0.3707482993197279,1.1150324791570765,1.0,0.0056225000000000025,1.060783783783784,0.12094388934897883,0.12823529411764706,0.05730082295090322,0.2673290368779091
frozenset({'sodium_mg_cat=medium'}),frozenset({'cooking_method=Baked'}),0.3325,0.147,0.0545,0.16390977443609023,1.1150324791570765,1.0,0.0056225000000000025,1.0202248201438848,0.1545545132804179,0.12823529411764706,0.01982388562261458,0.2673290368779091
frozenset({'fat_g_cat=medium'}),frozenset({'diet_type=Vegan'}),0.3335,0.1725,0.064,0.191904047976012,1.112487234643548,1.0,0.006471250000000005,1.0240120593692024,0.15170784883720942,0.14479638009049775,0.02344900057524109,0.2814592703648176
